Library,Module,Caller,API Name,Inputs,Outputs
sklearn,metrics,,accuracy_score,"['labels', 'predictions']",['metric']
sklearn,metrics,,check_scoring,"['model', 'metric definition']",['metric']
sklearn,metrics,,get_scorer,['metric definition'],['metric']
sklearn,metrics,,mean_squared_error,"['labels', 'predictions']",['metric']
sklearn,metrics,,precision_recall_curve,"['y_true', 'y_score']","['precision', 'recall', 'thresholds']"
sklearn,metrics,,r2_score,"['labels', 'predictions']",['metric']
sklearn,metrics,,roc_auc_score,"['labels', 'predictions']",['metric']
sklearn,metrics,,roc_curve,"['labels', 'predictions']","['metric', 'metric', 'metric']"
sklearn,metrics.pairwise,data,additive_chi2_kernel,"['features', 'features']",['features']
sklearn,metrics.pairwise,data,laplacian_kernel,"['data', 'hyperparameter']",['features']
sklearn,metrics.pairwise,,rbf_kernel,"['features', 'features', 'hyperparameter']",['features']
sklearn,model.selection,,train_test_split,"['features', 'labels']","['features', 'validation features', 'labels', 'validation labels']"
sklearn,model_selection,data,GroupShuffleSplit,['hyperparameter'],['data splitter']
sklearn,model_selection,metric,cross_val_score,"['model', 'features', 'labels']",['metric results']
sklearn,model_selection,metric,cross_validate,"['model', 'features', 'labels']",['metric results']
sklearn,model_selection,,GridSearchCV,"['model', 'hyperparameter definition']",['model']
sklearn,model_selection,,RandomizedSearchCV,"['model', 'hyperparameter definition']",['model']
sklearn,model_selection,,StratifiedKFold,['hyperparameter'],['data splitter']
sklearn,model_selection,,train_test_split,"['features', 'labels']","['features', 'features', 'labels', 'labels']"
sklearn,multioutput,,MultiOutputRegressor,"['model', 'hyperparameter']",['model']
sklearn,naive_bayes,model,predict_proba,['features'],['predictions']
sklearn,neighbors,data,KNeighborsClassifier,['hyperparameter'],['model']
sklearn,neighbors,data transformer,kneighbors,['features'],"['distances', 'indices']"
sklearn,pipeline,,make_pipeline,['estimators'],['pipeline']
sklearn,preprocessing,data,MinMaxScaler,['hyperparameter'],['data transformer']
sklearn,preprocessing,data transformer,fit_transform,['features'],['features']
sklearn,preprocessing,data transformer,inverse_transform,['labels'],['labels']
sklearn,preprocessing,model,fit_transform,['data'],['data']
sklearn,preprocessing,model,transform,['data'],['data']
sklearn,preprocessing,,FunctionTransformer,['hyperparameter'],['data transformer']
sklearn,preprocessing,,LabelEncoder,['labels'],['labels']
sklearn,preprocessing,,QuantileTransformer,['hyperparameter'],['data transformer']
sklearn,preprocessing,,StandardScaler,['features'],['features']
sklearn,preprocessing,,binarize,['features'],['features']
sklearn,preprocessing,,minmax_scale,['features'],['features']
sklearn,svm,,l1_min_c,"['features', 'labels']",['hyperparameter']
sklearn,utils,data,check_scalar,['parameter_value'],['validated_parameter_value']
sklearn,utils,data,indexable,['data'],['data']
sklearn,utils,data,inplace_column_scale,"['features', 'scaling factor']",['features']
sklearn,utils,data,shuffle,['arrays'],['shuffled arrays']
sklearn,utils.extmath,,randomized_svd,"['features', 'hyperparameter']","['features', 'singular values']"
sklearn,utils.sparsefuncs_fast,data,inplace_csr_row_normalize_l2,['features'],['features']
sklearn,,model,fit,"['features', 'labels']",['trained_model']
sklearn,,model,score,"['features', 'labels']",['metric']
sklearn,,trained_model,predict,['features'],['predictions']
tensorflow,keras,compiled_model,fit,"['features', 'labels']",['trained_model']
tensorflow,keras,model,compile,"['optimizer', 'loss_function', 'metrics']",['model']
tensorflow,keras,trained_model,predict,['test_features'],['predictions']
tensorflow,keras,,Sequential,['layers'],['model']
